word,count
order,5602
app,5449
delivery,4727
customer,3457
zepto,3287
worst,3081
service,3013
time,2536
product,2487
support,2376
bad,2321
refund,2079
experience,1946
items,1745
ordered,1723
delivered,1528
hai,1461
products,1386
item,1278
received,1126
use,1107
money,1088
blinkit,1058
care,994
minutes,973
issue,966
poor,966
just,950
never,949
then,948
deliver,947
now,931
quality,926
return,886
get,862
good,851
do,850
like,848
by,842
please,824
only,823
am,811
option,753
payment,748
ever,746
which,744
give,743
cancel,742
more,714
always,702
didn,692
instamart,687
again,674
than,666
got,662
he,659
chat,652
showing,651
missing,648
milk,646
expired,641
times,617
take,614
same,613
help,602
been,598
what,589
available,588
still,582
pathetic,577
other,571
too,570
partner,569
customers,557
fraud,556
orders,555
response,554
proper,552
wrong,547
some,543
complaint,540
bhi,534
late,515
hour,515
h,512
buy,507
out,506
better,506
because,503
mins,491
damaged,491
why,490
without,480
team,478
shows,467
charges,463
nhi,462
about,461
rs,461
m,459
